INSTITUICAO,COD_IBGE,UF,POPULACAO,INDICADOR_1,NOTA_1,INDICADOR_2,NOTA_2,INDICADOR_3,NOTA_3,CLASSIFICACAO_CAPAG,ANO_BASE
Prefeitura Municipal de Novo Planalto - GO,5215256,GO,4445,"0,447390781",A,"0,997269729",C,"6,158893909",C,C,2019
Prefeitura Municipal de Novo Progresso - PA,1505031,PA,25758,"0,192730713",A,"0,983877031",C,"1,395205758",C,C,2019
Prefeitura Municipal de Novo Repartimento - PA,1505064,PA,74602,"0,174481424",A,"0,945349534",B,"0,158298926",A,B,2019
Prefeitura Municipal de Novo Santo Antônio - MT,5106315,MT,2574,"0,01986907",A,,n.d.,"0,189914104",A,n.d.,2019
Prefeitura Municipal de Novo Santo Antônio - PI,2206951,PI,2979,"0,127828062",A,"0,961609201",C,"2,442622426",C,C,2019
Prefeitura Municipal de Novo São Joaquim - MT,5106281,MT,5199,"0,028192363",A,"0,921771132",B,"0,207310423",A,B,2019
Prefeitura Municipal de Novo Tiradentes - RS,4313441,RS,2223,"0,032343087",A,"0,817443193",A,"0,033361728",A,A,2019
Prefeitura Municipal de Novo Triunfo - BA,2923050,BA,15380,"0,967783388",B,"0,878149353",A,"1,527467044",C,C,2019
Prefeitura Municipal de Novo Xingu - RS,4313466,RS,1727,"0,113358537",A,"0,937720835",B,"0,04314306",A,B,2019
Prefeitura Municipal de Novorizonte - MG,3145372,MG,5273,"0,025864912",A,"0,879053677",A,"0,12466541",A,A,2019
Prefeitura Municipal de Nuporanga - SP,3533601,SP,7386,"0,089991032",A,"0,943096689",B,"0,731552461",A,B,2019
Prefeitura Municipal de Óbidos - PA,1505106,PA,51964,"0,371958432",A,"0,982101629",C,,n.d.,n.d.,2019
Prefeitura Municipal de Ocara - CE,2309458,CE,25557,"0,257799248",A,"0,934922309",B,,n.d.,n.d.,2019
Prefeitura Municipal de Ocauçu - SP,3533700,SP,4287,,n.d.,"-2,916335395",A,"0,113513864",A,n.d.,2019
Prefeitura Municipal de Oeiras - PI,2207009,PI,36971,"0,226167602",A,"0,949706069",B,"0,643651109",A,B,2019
Prefeitura Municipal de Oeiras do Pará - PA,1505205,PA,,,n.d.,,n.d.,,n.d.,n.d.,2019
Prefeitura Municipal de Oiapoque - AP,1600501,AP,26627,,n.d.,"1,04057215",C,"1,490766771",C,n.d.,2019
Prefeitura Municipal de Olaria - MG,3145406,MG,1775,"0,015795476",A,"0,901514228",B,"1,654461518",C,C,2019
